"lot_id","account_company_name"
178868,Coolblue
179374,Coolblue
179505,Coolblue
179366,Coolblue
178832,Coolblue
179461,Coolblue
179395,Coolblue
178831,Coolblue
179367,Coolblue
179391,Coolblue
179264,Coolblue
179266,Coolblue
179470,Coolblue
179508,Coolblue
179507,Coolblue
178829,Coolblue
179460,Coolblue
179465,Coolblue
179364,Coolblue
178867,Coolblue
179268,Coolblue
179265,Coolblue
179392,Coolblue
179369,Coolblue
179511,Coolblue
179512,Coolblue
181375,Argo360
181392,KOcycle
181393,KOcycle
181394,KOcycle
181395,KOcycle
181380,KOcycle
181381,KOcycle
181382,KOcycle
181383,KOcycle
181384,KOcycle
179467,Coolblue
179462,Coolblue
179464,Coolblue
179468,Coolblue
179393,Coolblue
178866,Coolblue
179473,Coolblue
179466,Coolblue
179459,Coolblue
179469,Coolblue
179472,Coolblue
179471,Coolblue
179474,Coolblue
179463,Coolblue
179365,Coolblue
179370,Coolblue
179371,Coolblue
179373,Coolblue
179263,Coolblue
179267,Coolblue
179269,Coolblue
178828,Coolblue
179396,Coolblue
179506,Coolblue
179510,Coolblue
178914,Socia ICT
179531,Coolblue
181388,m-Wize-IT
181390,m-Wize-IT
181391,m-Wize-IT
178900,Socia ICT
178902,Socia ICT
178958,Socia ICT
178903,Socia ICT
178908,Socia ICT
178909,Socia ICT
178904,Socia ICT
178905,Socia ICT
178906,Socia ICT
178907,Socia ICT
178899,Socia ICT
178761,TU Delft
180304,KOcycle
178723,TU Delft
178879,Socia ICT
178880,Socia ICT
178883,Socia ICT
178887,Socia ICT
178885,Socia ICT
180332,KOcycle
178892,Socia ICT
180305,KOcycle
180306,KOcycle
180307,KOcycle
180308,KOcycle
180309,KOcycle
180310,KOcycle
180311,KOcycle
